sentence,aspect,Predicted_Sentiment
also i wa amazed by the great moral message that this movie delivered to u,moral,positive
also i wa amazed by the great moral message that this movie delivered to u,message,positive
sometimes a sequel exceeds expectation and set a benchmark and pus in boot 2 ha done exactly that,sequel,positive
the story overall is great,story,positive
and because of that we get a hero who feel genuinely imperiled,hero,negative
there are a lot of cameo from other character out of the shrek franchise that are very fun to see on the big screen again,character,positive
firstly the animation style had added clear manga influence,animation,positive
firstly the animation style had added clear manga influence,style,positive
the film animeinfluenced action sequence are visually striking and the use of dramatic shadow and subtle dissolve help to smoothly transition between scene,action,positive
the film animeinfluenced action sequence are visually striking and the use of dramatic shadow and subtle dissolve help to smoothly transition between scene,sequence,positive
the attempted humor missed 95 of the time because it lazyily written and geared solely towards 5yearolds,humor,negative
no need to say the visuals of this film are outstanding,visuals,negative
the spiderverselike visuals and action sequence are stunning and stylish,visuals,positive
the spiderverselike visuals and action sequence are stunning and stylish,action,positive
the spiderverselike visuals and action sequence are stunning and stylish,sequence,positive
the animation in this movie is top tier absolutely amazing,animation,positive
the editing is misjudged in the first half but pretty smooth in the latter half of the film,editing,negative
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,animation,positive
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,joke,positive
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,character,positive
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,vocalist,positive
i cant go on without mentioning that one of the villain in this is something straight out of a horror movie and it one of the most unique experience ive had in an animated film were i a a fully grown adult wa legitimately intimidated by it,villain,positive
shockingly emotional hilarious and terrifying pus in boot the last wish is a touching story about mortality and making the most of the time you have,story,positive
i hope this addition to the revived shrek universe mean were going to see some more of these fun character soon,character,positive
a for the writer there is definitely an interesting inclusion tommy swerdlow wa an actor on howard the duck spaceballs and child play and a writer for cool running in the 90 but his move to writing animation is not completely new,animation,positive
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,character,positive
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,motivation,positive
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,pacing,positive
for a sequel this story seems very fresh and imaginative providing a new spin on several classic storybook creature in a very provocative and entertaining manner,story,positive
the voice cast in pus in boot the last wish wa great and there were some very good talent on the cast list,voice,positive
the voice cast in pus in boot the last wish wa great and there were some very good talent on the cast list,cast,positive
it added depth and emotion to the scene and the song were catchy and memorable,scene,positive
it added depth and emotion to the scene and the song were catchy and memorable,song,positive
the action is also compelling the emotional moment hit fairly well and the humour hit more than it miss,action,positive
the action is also compelling the emotional moment hit fairly well and the humour hit more than it miss,humour,positive
they managed to give every character a change to shine without giving up any of the fun gag and shenanigan,character,positive
the story open up in a lively bar where pus performs the catchiest original earworms of the franchise in fearless hero setting up his largerthanlife presence,story,positive
there wa a lot of style over substance in this movie the visual graphic are over the top wow especially with the constantly changing magical dark forest but at the end of the day the writing just isnt there,style,negative
there wa a lot of style over substance in this movie the visual graphic are over the top wow especially with the constantly changing magical dark forest but at the end of the day the writing just isnt there,visual,negative
there really isnt much to complain about with this story,story,positive
i teared up a lot when i wa in the cinema the skill of storytelling is amazing,storytelling,positive
wagner moura did an excellent job portraying this character there couldnt have been better casting the voice actor himself fit the role exceedingly well,character,positive
wagner moura did an excellent job portraying this character there couldnt have been better casting the voice actor himself fit the role exceedingly well,voice,positive
wagner moura did an excellent job portraying this character there couldnt have been better casting the voice actor himself fit the role exceedingly well,actor,positive
pus in boot follows the title character from the shrek movie,character,negative
i watched it in spanish so it didnt have the all of the same voice actor besides banderas and probably salma hayek but everyone did an excellent job especially from the main two i just mentioned,voice,positive
i watched it in spanish so it didnt have the all of the same voice actor besides banderas and probably salma hayek but everyone did an excellent job especially from the main two i just mentioned,actor,positive
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,animation,positive
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,character,positive
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,humor,positive
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,theme,positive
from the opening diner scene crammed with charisma and shade of pulp fiction this movie becomes so much more,scene,positive
however this film lack any serious amount of depth in any of it character or script,character,negative
however this film lack any serious amount of depth in any of it character or script,script,negative
not every animation movie or series or video game is blessed with good casting,casting,positive
a little bit of a pity because ive heard great thing about him and how he executes his comedy well you cant judge an artist by one work and that work aint too bad here,comedy,negative
nevertheless i wa still able to enjoy and appreciate my time with the film largely due to this likeable set of character whom you can root for and some commendable dubbing work,character,positive
sam rockwell is absolutely amazing in this movie who knew he wa so good at voice acting,voice,positive
sam rockwell is absolutely amazing in this movie who knew he wa so good at voice acting,acting,positive
more time with some of the character a i said the cast of character have their inclusion but there seemed to be more they could have done with them in the final project,character,negative
more time with some of the character a i said the cast of character have their inclusion but there seemed to be more they could have done with them in the final project,character,negative
ultimately this movie is a really fun time with clever writing unique art style and an impressive voice cast itll keep you entertained and guessing throughout it runtime no matter your age,writing,positive
ultimately this movie is a really fun time with clever writing unique art style and an impressive voice cast itll keep you entertained and guessing throughout it runtime no matter your age,art,positive
ultimately this movie is a really fun time with clever writing unique art style and an impressive voice cast itll keep you entertained and guessing throughout it runtime no matter your age,style,positive
ultimately this movie is a really fun time with clever writing unique art style and an impressive voice cast itll keep you entertained and guessing throughout it runtime no matter your age,voice,positive
ultimately this movie is a really fun time with clever writing unique art style and an impressive voice cast itll keep you entertained and guessing throughout it runtime no matter your age,cast,positive
i didnt really care about the character enough and maybe because too much wa forced in,character,negative
great storyline and animation,storyline,positive
great storyline and animation,animation,positive
it also ha a good moral lesson for kid at the end,moral,positive
it also ha a good moral lesson for kid at the end,lesson,positive
this is especially noticeable in that one character who is clearly modelled after a certain redheaded disney princess isnt a bitchy shallow or malevolent a you might hope,character,negative
this movie wa above average but below being great from the pacing so in the end i think it deserves the title of being a little above an average movie,pacing,negative
it felt like there wa more that should have been added to clear up certain plot point im mainly looking at the overbearing grandmother queen but it never addressed again despite it being the whole driving point of why the gillmans are forced to live on land in the first place,plot,negative
i didnt even make it through this movie i tried watching it with my son and the adult humor wa so inappropriate and blatant that i turned it off,humor,negative
it could have been a good movie if the weird inappropriate bit were cut and they thought about the plot a bit more,plot,negative
the theme of this film is overcoming your fear and while it appreciatedrelatable among human of all age charlie kaufman completely dropped the ball on what couldve been a comfortproducing and fearrelieving adaptation for child who daily struggle with these very real anxiety,theme,negative
overall a colourful entertaining flick,flick,positive
very unique character design dark and the other entity,character,negative
very unique character design dark and the other entity,design,negative
including the third act to be a little rushed,act,negative
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,plot,negative
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,character,positive
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,joke,positive
the villain is a voice you will recognize,villain,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,fresh,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,emotional,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,depth,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,story,negative
and from most of the scene it have too many jump cut too many unnecessary shot made me feel it is so fast and hard to enjoy,scene,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,story,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,character,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,ending,negative
with those weak and bad point i dont think this movie is really worth to watch you can pretend that the story ended in third one,story,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,joke,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,final,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,battle,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,message,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,character,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,development,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,villain,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,final,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,battle,positive
